review_id,airline_id,lounge_name,airport,type_of_lounge,type_of_traveller,verify,date_submitted,date_visit,customer_name,nationality,comfort,cleanliness,bar_and_beverages,catering,washrooms,wifi_connectivity,staff_service,recommended,review,updated_at
1,9,JFK Terminal 7,New York JFK Airport,Business Class,Business,1,2024-05-21,2024-05-01,Linda Roberts 16,United Kingdom,5,5,4,4,4,5,4,1,"This is a new lounge for Aer Lingus as on previous occasions they would use the lounge of a partner airline. The lounge is not overly large but more than enough space for passengers embarking on the four flights they were operating when we were there. There is a small area with food. Sandwiches, salads and wraps during all opening hours and hot food choices late afternoon and evening. The evening hot choices on our visit were Chicken in a mushroom sauce, Boiled potatoes with parsley, steamed green beans and tomatoes and macaroni cheese. I sampled all these and they were very good. Two cakes were on offer as dessert. All the time bags of crisps (chips) and pretzels and fresh apples and oranges were there too. A small selection of wines and beers, including a sparkling wine, and sodas were self-serve. Pleasant and quiet with staff who, while not exactly chatty and communicative, were professional. They cleared tables and refreshed food regularly. Toilets were clean and more than adequate. I didn't see any shower facilities, however that does not mean they were not there.",2026-06-20 12:45:41.0000000
2,9,Aer Lingus,New York JFK Airport,Business Class,Business,1,2023-06-15,2023-06-01,Linda Roberts 16,United Kingdom,5,5,4,2,5,5,5,1,"A small, clean lounge with plenty of seating, a well-stocked, self-serve bar and some food options. Some windows overlooked the runways and boarding gates but, understandably, the other windows overlooking a shabby storage area had blinds fully closed. A few nibbles, a couple of sandwich and wrap options and a beef stew were available. My partner had the stew and left it after a couple of bites as the meat was mainly fat and gristle and the sauce bland and unappetising, a real disappointment. Two flavours of potato crisps (chips in the US) were consumed and these, jalapeno and BBQ, were very good. Staff were helpful and kept the tables and other areas clean and tidy. It was good that the lounge was only a short walk from the gate too.",2026-06-20 12:45:41.0000000
3,9,NULL,London Heathrow Airport,Business Class,Business,0,2023-05-25,2023-05-01,Ronald Lopez 9,Ireland,3,3,1,1,3,4,2,0,"While the decor etc is nice, the food is absolutely awful. Soup, cheese and crackers is the height of it. It is truly appalling. The staff themselves seem embarrassed by the mostly empty display cabinets.",2026-06-20 12:45:41.0000000
4,9,Dublin,Dublin Airport,Business Class,Business,1,2020-02-04,2020-01-01,Hassan Nelson 16,Canada,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"I would probably rate the lounge as awesome, but since I couldn’t get in I give it a zero. Paid, had the printout, but I was at another terminal so I wasn’t allowed in. Aer Lingus says “Sorry no refunds on unused passes” So I sat at the airport for 4 hours without lounge access Fail Aer Lingus",2026-06-20 12:45:41.0000000
5,9,Gold Circle,Dublin Airport,Frequent Flyer,NULL,0,2017-02-15,2017-02-01,Michelle Thompson 23,Ireland,5,5,5,5,5,5,5,1,"The Gold Circle Lounge in Dublin T2 is a two storey area with large windows giving good views of the apron. There is a water feature which extends over two floors. Upstairs is a quiet area, where showers are located. There are power points for charging mobile devices, and a couple of computers with printing facilities. Short Haul flights are not called from the lounge, but there are several flight information screens. The food on offer consisted of: Fresh fruit, Cereals, Breads,  pastries etc. Aer Lingus display allergen information beside all food products. A full range of soft and alcoholic drinks is available along with fruit juices, tea and coffee. Being close to the boarding gates is also a big plus. A very pleasant lounge to await a flight.",2026-06-20 12:45:41.0000000
6,9,Dublin,Dublin Airport,Business Class,Business,0,2017-02-10,2017-02-01,Aisha Green 16,United Kingdom,3,2,1,1,3,5,2,0,"I book the Aer Lingus flight under BA and am silver member but flying from Dublin to Leeds you still can't access Aer Lingus lounge free so I paid the £23 fee. Small lounge, freezing cold when I arrived but good range of comfortable seating. Drinks very limited and food was very limited (plastic wrapped cheese and crackers or soup) - I have never visited a lounge this poor before. In future I'll go to the nice wine bar in the terminal and do much better for less. By the way I notice these same reviews go back years so clearly Aer Lingus  know all this already and couldn't give a stuff!",2026-06-20 12:45:41.0000000
7,9,T2,Dublin Airport,Business Class,Business,0,2016-10-17,2016-01-01,Kenneth Tanaka 18,Ireland,2,2,1,1,1,3,1,0,"The lounge is small, with limited seating. Offers a nice view of the ramp, with views of runway in distance. Very limited selection of snacks, (bread, cheese, biscuits). Tea and coffee from machine. No showers. Alcohol available (limited choice). Possibly the worst stocked Business Class lounge I have ever visited. Staff generally disinterested and bored. Tables left uncleaned. Preferable to sitting outside on hard chairs, but that's about the best that can be said for it. If Aer Lingus reckons this is good enough, they should check out lounges around the rest of the world.",2026-06-20 12:45:41.0000000
8,9,51st & Green,Dublin Airport,Business Class,Business,0,2016-09-26,2016-09-01,Michelle Thompson 23,Ireland,3,3,3,2,3,5,3,1,"Located after US Preclearance in Terminal 2 and beside the US departure gates, it is close to an active runway. Complimentary access for Aer Lingus passengers is restricted to Business Class ticket holders and Prestige / Elite Gold Circle Club members. The entry fee of 39euro is substantially higher than the DAA lounges. 51st & Green is located beside gate 406, and clearly signposted. Entry is through sliding doors, down a gradual slope where a very pleasant lady welcomed us as Aer Lingus Business Class Passengers, and explained that food and drink were self service and complimentary. No mention was made of the additional menu which is chargeable. First impressions are of a bright, white almost clinical area, Soft drinks and a selection of salads, soups, bread rolls, smoked salmon, duck terrine are nicely displayed on the counters, along with some baked goods and biscuits laid out in wooden serving trays.  A small range of beers, wines and spirits is available from an attended counter which doubles as a coffee bar. DAA state that the coffee is specially ground for the 51st & Green lounge by a micro-roastery. It is good to see local businesses being supported in such a way, and the espresso I sampled was excellent. I asked at the bar/coffee server if it was possible to have some champagne and was amazed to be told that the lounge did not stock champagne. Surely a premium lounge should carry champagne? I would have been quite happy to pay for it, but was unable to do so. The newspaper rack contained two (used) copies of the Irish Independent newspaper. Nothing else whatever being available, There is a wide range of seat types, some facing runways, some in quiet clusters. Numerous power points are in place to charge mobile devices. However there is no business area, no computers for guests to use (to take advantage of the advertised “printing facilities”). In fairness, the receptionist was quick to offer to print any documents which I could email to her. A nice gesture, but surely a premium lounge should have at least one or two PCs for guests to use and print whatever they need? Pea and ham soup was hot and flavoursome, but served in a narrow mug is less than ideal. The cakes were quite pleasant, but there seemed to be a distinct shortage of bread rolls. For over half an hour, the basket was virtually empty. Also disappointing was the lethargic approach taken to clearing tables. One grave omission during the two hours we spent in the 51st & Green was the failure to offer the menu of cooked to order hot meals mentioned in DAAs’ publicity. However, the negatives are many: Lack of newspapers. No business centre. Toilets out of order. Slow replenishment of basic food items. Slow table clearance. Failure to offer any of the meals described on DAA publicity.",2026-06-20 12:45:41.0000000
9,9,NULL,New York JFK Airport,Business Class,Business,0,2015-11-21,2015-11-01,John Kowalski 6,United States,1,1,1,1,1,1,1,0,"The staff was rude. The temperature was 80 degrees in the lounge and they were very unconcerned. There were six other guests complaining, but wouldn't say anything to the staff. They said the air conditioning had been turned off for the season. Then I spent 15 minutes on hold trying to find someone to speak to about getting a refund. Won't be using the lounge again.",2026-06-20 12:45:41.0000000
10,9,NULL,Boston Logan Airport,Business Class,Business,0,2015-11-03,2015-11-01,Helen Flores 4,United Kingdom,2,3,3,3,1,4,3,0,"This Aer Lingus Lounge at Boston Logan Airport is adequate, but it does not open until 90 mins after check in opens. Perhaps they expect it to take you so long to get through. Very small and was almost full to capacity. Toilets some distance from lounge and not particularly clean. Limited selection of snacks and sandwiches.",2026-06-20 12:45:41.0000000
11,9,Gold Circle Lounge,London Heathrow Airport,Frequent Flyer,NULL,0,2015-10-29,2015-07-01,Sandra Campbell 13,Ireland,5,5,4,1,5,5,3,1,"Visited the Aer Lingus Gold Circle Lounge in Heathrow Terminal 2 when flying to Dublin. The receptionist was extremely unfriendly. Initial impressions of the lounge were positive, a nice, open and airy lounge with nice colours and comfortable seating. There are great views of the tarmac. The food offering is abysmal. There are some packaged biscuits and crackers and that is about it. Drinks offering is quite good with coffee, wine, spirits and beer. I used the shower room which was excellent and contained L’occitane amenities. The shower was excellent and was just what I needed after a long flight. Overall the lounge is a nice escape from the Heathrow noise, but the food offering does diminish the appeal somewhat.",2026-06-20 12:45:41.0000000
12,9,NULL,Dublin Airport,Business Class,Business,0,2015-08-24,2015-08-01,Jason Perez 7,United Kingdom,4,5,4,3,3,4,5,1,"Greeted by lovely helpful ladies on reception at Dublin Gold Circle lounge, helped clear up a booking issue straight away, very professional, great service. Nice peaceful place to wait for your flight.",2026-06-20 12:45:41.0000000
13,9,Gold Circle,Boston Logan Airport,Business Class,Business,0,2015-08-13,2015-08-01,Cynthia King 15,United Kingdom,3,4,3,2,NULL,4,3,0,"Unimpressed. When you enter there is a woman sitting at desk looking miserable. The lounge itself is small and snacks available are the poorest selection I have seen. Not sure this policy about dining before you fly is in play. If it is, all you get for dinner are sandwiches. Toilets are down the corridor. Come on Aer Lingus, inflight service is superb now follow it up in all your lounges.",2026-06-20 12:45:41.0000000
14,9,Gold Circle,London Heathrow Airport,Business Class,Business,0,2015-05-29,NULL,Steven Campbell 27,United States,4,4,2,2,3,4,1,0,Aer Lingus Gold Circle at Heathrow airport is a nice spacious area. Wifi is fine. Quiet. Self-serve food and bar area but limited offering for food. For breakfast - cereals and Danish. Staffing need some schooling on customer service a smile goes a long way but no-one was cracking even a small grin. No direction on the layout.,2026-06-20 12:45:41.0000000
15,9,Panorama,Dublin Airport,Business Class,Business,0,2015-03-29,NULL,Charles Mitchell 30,United Kingdom,4,4,3,1,3,3,1,0,Paid £50 for Are Lingus Lounge use for myself and my daughter on way to New York from Belfast via Dublin Airport. Couldn't believe such poor food offer at breakfast time. 3 cereals in plastic dispensers and a shared bowl of fruit salad to cater for everyone. Some small croissants only and not nice taste at that. Nothing else. Also poor reception from staff. What a rip off.,2026-06-20 12:45:41.0000000
16,9,Gold Circle,London Heathrow Airport,Business Class,Business,0,2014-10-28,NULL,Emily Scott 2,United Kingdom,4,5,4,2,4,4,3,1,Aer Lingus Gold Circle lounge at T2 Heathrow is a much nicer lounge than the old terminal 1. There was lots of light from the floor to ceiling windows and good views of the runaway. However the choice of food (we were there 9-10.30am) was very limited: cereals croissants cheese and crackers. No bread or porridge. However the coffee was decent and if you really fancied it there was a good choice of alcohol.,2026-06-20 12:45:41.0000000
